                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.69262,                 1.7441,                 3.7162,                  1.286,                0.31396,                 0.4136,                0.32468,                0.29141,                0.31396,                 0.4136,                0.32468,                0.29288,                 0.4701,                0.75275,                 2.4498,                 1.1151,             0.00013726,             0.00013726,             0.00013726
                      2,                0.59419,                0.89632,                 2.9341,                 1.1559,                0.61019,                0.39167,                0.46062,                0.42815,                0.61019,                0.39167,                0.46062,                0.42061,                0.53498,                0.68472,                 2.2034,                  1.242,             0.00027079,             0.00027079,             0.00027079
                      3,                0.67246,                0.79844,                 2.7988,                 1.1825,                0.37325,                 0.6584,                0.46103,                0.41063,                0.37325,                 0.6584,                0.46103,                0.41353,                0.56967,                0.59096,                 2.6262,                 1.3609,             0.00039882,             0.00039882,             0.00039882
                      4,                0.65954,                0.77126,                 2.6992,                 1.1618,                0.74769,                0.38622,                0.59728,                0.47778,                0.74769,                0.38622,                0.59728,                0.53286,                0.70454,                0.42556,                 2.3858,                 1.5134,             0.00039223,             0.00039223,             0.00039223
                      5,                0.63367,                0.80876,                 2.5831,                 1.1701,                0.56476,                0.64549,                0.66066,                0.53067,                0.56476,                0.64549,                0.66066,                0.61167,                0.78462,                0.49563,                  2.295,                 1.5864,             0.00038397,             0.00038397,             0.00038397
                      6,                0.65235,                0.85072,                 2.4653,                 1.1792,                 0.3641,                0.73977,                0.66287,                0.56996,                0.35557,                0.71361,                0.65459,                0.55181,                 0.7087,                0.95988,                 2.4522,                 1.3859,             0.00037572,             0.00037572,             0.00037572
                      7,                0.61827,                0.95511,                 2.4605,                 1.1663,                0.35531,                0.84615,                 0.6973,                0.62369,                0.35531,                0.84615,                 0.6973,                0.66039,                0.50577,                 0.4552,                 1.9062,                 1.2023,             0.00036746,             0.00036746,             0.00036746
                      8,                0.67987,                0.75242,                 2.3936,                 1.1835,                0.39506,                0.75115,                0.72972,                0.64099,                0.39506,                0.75115,                0.72972,                0.67774,                0.55057,                0.48462,                 2.0667,                 1.2701,              0.0003592,              0.0003592,              0.0003592
                      9,                 0.6607,                0.80351,                 2.2989,                 1.1716,                0.60193,                0.65763,                0.74885,                0.60006,                0.60193,                0.65763,                0.74885,                0.69551,                0.70098,                0.50556,                 2.1915,                 1.4105,             0.00035095,             0.00035095,             0.00035095
                     10,                0.59566,                0.71071,                 2.2227,                 1.1536,                0.53586,                0.76908,                0.71267,                0.56789,                0.54682,                 0.7997,                0.71679,                0.65436,                0.73456,                0.43363,                  1.926,                 1.4035,             0.00034269,             0.00034269,             0.00034269
                     11,                0.66035,                0.85848,                 2.1913,                 1.1779,                0.51825,                    0.9,                0.78014,                0.67763,                0.51825,                    0.9,                0.78014,                0.68948,                0.63721,                0.62897,                 1.9295,                 1.3435,             0.00033443,             0.00033443,             0.00033443
                     12,                0.57093,                0.75049,                 2.0478,                 1.1024,                 0.5635,                 0.7968,                 0.7909,                0.68633,                 0.5635,                 0.7968,                 0.7909,                 0.7284,                0.63609,                0.56963,                 1.9443,                 1.2845,             0.00032618,             0.00032618,             0.00032618
                     13,                0.59978,                 0.8389,                 2.1041,                 1.1054,                0.40982,                0.93197,                0.77416,                0.69134,                0.40982,                0.93197,                0.77416,                0.71616,                0.56112,                  0.473,                 1.9957,                 1.2289,             0.00031792,             0.00031792,             0.00031792
                     14,                0.56339,                0.68273,                   1.97,                 1.1036,                0.56857,                0.78333,                0.81252,                0.75185,                0.56857,                0.78333,                0.81252,                0.74157,                0.48912,                0.46317,                 1.5783,                 1.1588,             0.00030966,             0.00030966,             0.00030966
                     15,                0.58217,                0.74863,                 1.9904,                 1.1372,                0.52707,                0.80081,                0.85808,                0.77389,                0.52707,                0.80081,                0.85808,                0.80337,                0.49742,                0.40044,                 1.6165,                  1.123,             0.00030141,             0.00030141,             0.00030141
                     16,                0.58999,                0.72362,                 1.9012,                 1.1224,                0.58653,                0.80827,                0.87521,                0.79514,                0.58653,                0.80827,                0.87521,                0.82459,                0.53681,                0.40865,                 1.5903,                 1.2169,             0.00029315,             0.00029315,             0.00029315
                     17,                0.59812,                0.72298,                 1.8983,                 1.1363,                0.65133,                0.84761,                0.89174,                0.79087,                0.65133,                0.84761,                0.89174,                0.82691,                0.51448,                0.45775,                 1.3457,                 1.1852,             0.00028489,             0.00028489,             0.00028489
                     18,                0.52988,                0.70801,                  1.766,                 1.0867,                0.57586,                0.93879,                0.86135,                0.78013,                0.57586,                0.93879,                0.86135,                0.78957,                0.58079,                0.38142,                 1.2671,                 1.2944,             0.00027664,             0.00027664,             0.00027664
